Naam aanvrager;Vestigingsplaats;Toegekend bedrag
@INET TECHNOLOGY CONSULTANCY B.V.;WATERINGEN;10.326
@KEK B.V.;LOENEN AAN DE VECHT;8.187
@LEVI'S EETCAFE V.O.F.;RIJSSEN;5.367
@LL VOLTAGE SUPPLY B.V.;SCHIEDAM;41.430
@WORKSTREET B.V.;BREDA;2.633
[S]MAAK DOETINCHEM B.V.;DOETINCHEM;2.979
010 AUTOVERHUUR B.V.;'S-GRAVENHAGE;12.861
010 PERSONEEL B.V.;ROTTERDAM;6.150
01-10 ARCHITECTEN B.V.;ROTTERDAM;20.097
024 EVENTS B.V.;NIJMEGEN;4.665
033 B.V.;BUNSCHOTEN-SPAKENBURG;72.495
040 VASTGOEDONTWIKKELING B.V.;EINDHOVEN;5.586
040FIT BOXTEL B.V.;BOXTEL;2.133
050CREW B.V.;GRONINGEN;14.667
073 MEETING COMPANY B.V.;'S-HERTOGENBOSCH;41.913
1 GROUP SOLUTION B.V.;DE GOORN;1.557
100% FOOTBALL DEVENTER B.V.;APELDOORN;2.760
100% FOOTBALL RETAIL B.V.;APELDOORN;9.501
100% NL MAGAZINE B.V.;VOLENDAM;50.910
100% SALARISVERWERKING B.V.;ZOETERMEER;3.504
100% TEAMWEAR B.V.;APELDOORN;3.186
100% VOETBAL APELDOORN B.V.;APELDOORN;4.059
100% VOETBAL CAPELLE AAN DEN IJSSEL B.V.;AMERSFOORT;1.191
101 GOWRIE B.V.;AMSTERDAM;4.356
101 WAYS B.V.;AMSTERDAM;25.269
108 ZUTPHEN B.V.;WARNSVELD;19.557
10FORWARD B.V.;AMSTERDAM;19.215
10STORE B.V.;HOOGEVEEN;22.263
10STYLE B.V.;BUSSUM;11.526
123ONTSTOPPER B.V.;HOOGEZAND;5.718
125PROCENT B.V.;AMSTERDAM;5.793
12MPROVE ACADEMY B.V.;AMSTERDAM;18.234
12MPROVE B.V.;AMSTERDAM;44.091
12RETURN B.V.;GORINCHEM;9.684
1714 DRINKS & BITES VOF;SCHIEDAM;8.559
1AUTOHUREN B.V.;ROERMOND;5.343
1ERANG PRODUCTIES B.V.;AMSTERDAM;6.552
1MOBILITY GROUP B.V.;ENSCHEDE;4.368
1NERGIEK B.V.;LIJNDEN;416.160
1TRANSVIR B.V.;ALMERE;10.290
1ZERO B.V.;UTRECHT;34.797
2 DE HANDS WINKELINVENTARIS B.V.;NIJMEGEN;6.012
2 FLEX GROEP B.V.;DEVENTER;202.920
2 GETTHERE B.V.;UTRECHT;253.326
2 GETTHERE HOLDING B.V.;UTRECHT;15.168
2 M ALTERNATIVE FUEL SYSTEMS TILBURGB.V.;TILBURG;2.796
2 MET B.V.;BARENDRECHT;10.626
2 REPAIR-IT B.V.;RIJSWIJK ZH;14.685
2 T & E B.V.;HALSTEREN;16.923
2 X T GROEP B.V.;ST. WILLEBRORD;3.300
2.0 BEVEILIGING B.V.;AERDENHOUT;9.915
200 GRADEN CATERING B.V.;BERLICUM NB;9.600
21 PINCHOS FENIXLOODS ROTTERDAM B.V.;ROTTERDAM;15.042
216 ACCOUNTANTS B.V.;'S-GRAVENHAGE;188.166
21ST PARTNERS B.V.;HOUTEN;6.957
22-24 CLUB & EVENT B.V.;DOETINCHEM;12.483
227 DATASCIENCE B.V.;UTRECHT;35.754
227 LEARNING B.V.;UTRECHT;16.455
227 SEARCH B.V.;UTRECHT;3.237
24 HR RMS B.V.;SCHIEDAM;16.284
24 HR SERVICES B.V.;SCHIEDAM;926.088
24 INDOOR SUPPORT B.V.;ALKMAAR;75.645
24 JUMP DIEMEN B.V.;DIEMEN;4.257
24 JUMP HEERLEN B.V.;HEERLEN;7.629
24 PLAY AMSTERDAM B.V.;AMSTERDAM;8.703
24 PLAY BLEISWIJK B.V.;BLEISWIJK;9.519
24 PLAY BREDA B.V.;BREDA;30.195
24 PLAY DIEMEN B.V.;DIEMEN;8.346
24 PLAY GOUDA B.V.;GOUDA;6.981
24 PLAY HEERLEN B.V.;HEERLEN;7.005
24 PLAY SPIJKENISSE B.V.;SPIJKENISSE;14.754
24 PLAY WARMOND B.V.;WARMOND;21.663
24AM B.V.;AMSTERDAM;14.091
24BUILDINGCARE B.V.;DOETINCHEM;8.568
24COMCORP B.V.;LEEUWARDEN;1.800
24H MULTIDIENSTEN SERVICE B.V.;ALMERE;5.643
24HUMAN CONSULTANCY B.V.;ROSMALEN;3.537
25 FPS COMMERCIAL PRODUCTION B.V.;AMSTERDAM;11.928
29 SPICES B.V.;AMSTERDAM;8.943
2BASICS B.V.;HAARLEM;18.984
2B-BUILD B.V.;BOXTEL;46.284
2BMADE B.V.;LEEUWARDEN;3.282
2C & MORE B.V.;HILVARENBEEK;10.521
2C & MORE WEST B.V.;ROTTERDAM;19.902
2DAY@WORK B.V.;GIESSEN;13.344
2DAY@WORK B.V.;GIESSEN;2.985
2-DUTCH AGENCY B.V.;EINDHOVEN;17.661
2E JACOB VAN CAMPEN HORECA B.V.;AMSTERDAM;10.479
2GETHER FASHION B.V.;ROTTERDAM;12.534
2GETHER SALES B.V.;BROEK OP LANGEDIJK;13.452
2GUARD B.V.;OISTERWIJK;6.015
2JOIN B.V.;GRONINGEN;36.717
2KEER.NL B.V.;ARNHEM;9.342
2KERR B.V.;HEDEL;8.154
2LEARN B.V.;AMSTERDAM;45.657
2M GROUP DIVERS PERSONEELSDIENSTEN  B.V.;NORG;35.370
2NEXTLEVEL B.V.;EMMELOORD;7.395
2REACT B.V.;OIRSCHOT;2.418
2REACT CLEANING SOLUTIONS B.V.;OIRSCHOT;1.527
2-RESCUE B.V.;EINDHOVEN;20.853
2-SAT EUROPE B.V.;SOESTERBERG;16.791
2THELOO B2B B.V.;AMSTERDAM;17.781
2THELOO HOLDING B.V.;AMSTERDAM;112.233
2TRUST B.V.;'S-GRAVENHAGE;8.334
2TSO B.V.;ALMERE;7.182
2TWINTIG PUBLIC RELATIONS B.V.;ROTTERDAM;23.340
2UNBOSS.TODAY B.V.;ZEEWOLDE;17.712
2WARE B.V.;AMSTERDAM;17.337
2XCEED B.V.;SOEST;8.400
2-XL B.V.;ROERMOND;28.515
2XPO B.V.;'S-HERTOGENBOSCH;14.424
2XPR B.V.;UTRECHT;49.143
3 DTEC B.V.;BERGEIJK;19.980
3 GEZUSTERS NIJMEGEN B.V.;NIJMEGEN;38.169
3 KEUKEN & BAR B.V.;OUDEWATER;14.529
3&3 B.V.;UITGEEST;35.988
3007SOFT ENTERPRISE B.V.;BILTHOVEN;6.021
31DEVELOPMENT B.V.;AMSTERDAM;4.047
33 GOOD FOOD B.V.;HELMOND;22.523
333 TRAVEL B.V.;HARMELEN;167.745
360 AMSTERDAM TOURS B.V.;AMSTERDAM;19.125
360 PRIVATE TRAVEL B.V.;AMSTERDAM-DUIVENDRECHT;8.523
360KAS B.V.;MOERDIJK;125.007
360TALENT B.V.;ZOETERMEER;50.160
360TALENT B.V.;ZOETERMEER;17.163
365 SCHOON B.V.;AMSTERDAM;5.106
365WERK CONTRACTING B.V.;GRONINGEN;107.871
365WERK CONTRACTING B.V.;GRONINGEN;47.238
365WERK HOSPITALITY B.V.;GRONINGEN;436.128
365WERK HOSPITALITY B.V.;GRONINGEN;10.218
3D INDUSTRIAL SERVICES B.V.;RIDDERKERK;10.530
3D MAKERS ZONE B.V.;HAARLEM;19.536
3D METAL FORMING B.V.;LELYSTAD;31.479
3D NDT SERVICES B.V.;RIDDERKERK;22.896
3D ROPE ACCESS B.V.;RIDDERKERK;3.336
3D4MAKERS B.V.;HAARLEM;7.941
3DEALISE B.V.;GOOR;6.582
3DRAFT INGENIEURS B.V.;GRONINGEN;6.771
3FIFTYNINE B.V.;'S-HERTOGENBOSCH;115.920
3FORCE B.V.;ZUIDBROEK;21.783
3P PROJECT SERVICES B.V.;BAVEL;67.263
3P QUALITY SERVICES B.V.;BAVEL;124.125
3-PACK B.V.;AMSTERDAM;57.249
3PO LLP;ROTTERDAM;25.083
3R B.V.;HILVERSUM;30.051
3SIXTY5 ABCOUDE B.V.;AMSTELVEEN;9.744
3SIXTY5 ALBERT CUYP B.V.;AMSTERDAM;3.480
3SIXTY5 AMSTERDAM B.V.;AMSTERDAM;6.807
3SIXTY5 GROUP B.V.;AMSTERDAM;5.322
3SIXTYFIVE B.V.;HAARLEM;22.170
3-TAC B.V.;OSS;21.819
3WO HORECA GROEP B.V.;AMSTERDAM;166.716
3XLSOLARSOLUTIONS B.V.;AERDENHOUT;8.418
4 BIKERS AND BIKES V.O.F.;LEENDE;595
4 CONTROL B.V.;OUD-BEIJERLAND;49.242
4 ONS STOCKLOTS B.V.;CAPELLE AAN DEN IJSSEL;33.618
4 YOUR CARE B.V.;ARNHEM;26.367
4 YOUR HAIR B.V.;ZUTPHEN;6.807
418 WEBDEVELOPMENT B.V.;ROTTERDAM;12.642
42 SOLUTIONS B.V.;EINDHOVEN;28.011
433 B.V.;AMSTERDAM;89.256
44 AND MORE B.V.;NOOTDORP;17.487
4ALL KLIMA MONTAGE B.V.;DIDAM;21.531
4-ATTENTION B.V.;HONSELERSDIJK;82.023
4BIS INNOVATIONS B.V.;HAARLEM;6.270
4-BRANDS GROUP B.V.;ALMERE;40.008
4C'S MEDIA B.V.;CAPELLE AAN DEN IJSSEL;2.664
4D IN VISION AUTOMATISERING         GRONINGEN B.V.;GRONINGEN;38.136
4GOLD B.V.;LEERDAM;4.818
4MEX LOGISTICS B.V.;KRIMPEN AAN DEN IJSSEL;15.354
4MINDS B.V.;HOUTEN;35.493
4MORE TECHNOLOGY B.V.;MOERKAPELLE;41.559
4ORANGE B.V.;AMSTERDAM;25.539
4PIEPEL B.V.;ENKHUIZEN;1.620
4PM ENTERTAINMENT B.V.;AMSTERDAM;108.726
4TAKT ENGINEERING & DIESEL          COMPONENTS B.V.;ETTEN-LEUR;14.874
4UDESIGNED B.V.;WORMERVEER;25.530
4WD CUSTOMS B.V.;VOLKEL;4.035
5 STERREN VLEES B.V.;ZWAAG;4.323
50 + BEURS & FESTIVAL B.V.;ARNHEM;39.126
510.NETHERLANDS B.V.;AMSTERDAM;90.555
54EVENTS B.V.;BREUKELEN UT;42.402
54U MEDIA B.V.;APELDOORN;18.372
5BY2 B.V.;AMSTERDAM;40.245
5HART-IT B.V.;VELP GLD;85.899
5TH AVENUE ARNHEM B.V.;ARNHEM;6.807
5TH CORNER B.V.;AMERSFOORT;9.315
60PLUSENDUS B.V.;'S-GRAVENHAGE;873
6FT7 LOGISTICS B.V.;BEVERWIJK;5.820
6P B.V.;ROERMOND;3.525
6POINT SAFETY & SECURITY B.V.;EPE;9.594
701 BOOMPJES B.V.;ROTTERDAM;20.562
711 RENT AMSTERDAM B.V.;AMSTERDAM;7.965
717 OPCO B.V.;AMSTERDAM;60.864
77 EVENTS B.V.;ZOETERMEER;5.184
7AM DEN HAAG B.V.;'S-GRAVENHAGE;37.530
7B MACHINE B.V.;UTRECHT;6.048
7SEVEN B.V.;AMSTERDAM;3.325.680
7SEVEN B.V.;AMSTERDAM;384.930
7TRANS B.V.;ZEVENAAR;50.175
8BALL MUSIC B.V.;HILVERSUM;32.562
8PERSBEHEER B.V.;RIJSWIJK ZH;3.063
8TEA5 DEN HAAG B.V.;'S-GRAVENHAGE;3.186
8TEA5 DEN HAAG B.V.;'S-GRAVENHAGE;3.186
8VANCE B.V.;STEYL;5.517
8VANCE MATCHING TECHNOLOGIES B.V.;STEYL;50.919
90/24 B.V.;AMSTERDAM;52.509
91 SPICES ROTTERDAM B.V.;ROTTERDAM;52.878
95 B.V.;AMSTERDAM;9.990
A;EMMEN;3.327
A  VITTALI SCHOONMAAK- EN           SCHOORSTEENVEEGBEDRIJF B.V.;LELYSTAD;22.200
A & A EXPO INTERNATIONAL BV;WIJK BIJ DUURSTEDE;287.619
A & A MUSIC B.V.;ALMERE;71.772
A & B HORECA B.V.;AMSTERDAM;7.986
A & C ENGINEERING B.V.;STELLENDAM;18.774
A & C STEFFENS JUWELIERS B.V.;LELYSTAD;6.714
A & E TRADING B.V.;LEEK;4.411
A & F BODYFASHION B.V.;DEN HELDER;6.735
A & L SOGNO B.V.;ROTTERDAM;11.952
A & N JUWELIERS V.O.F.;'S-GRAVENHAGE;4.281
A & N VASTGOED B.V.;'S-GRAVENHAGE;9.711
A & P GAMES B.V.;HILVERSUM;4.737
A & P METAALBEWERKING V.O.F.;ULFT;5.460
A & R FASTFOOD B.V.;ENSCHEDE;2.637
A & T HOLDING B.V.;ROTTERDAM;2.784
A & X TEXTIELVERZORGING B.V.;BERGEN OP ZOOM;16.878
A + R ELEKTROTECHNIEK B.V.;HARDINXVELD-GIESSENDAM;9.510
A + W SPOORDIENSTEN B.V.;TIEL;84.729
A AHMAD;VOORBURG;4.872
A AKTHER;ZWOLLE;8.286
A BAAS;WORMERVEER;7.113
A BAKKER;ENSCHEDE;954
A BEAUTIFUL MESS RESTAURANT B.V.;AMSTERDAM;38.031
A Ben YERROU;AMSTERDAM;24.978
A BENNINKS SCHOENMAKERIJ EN         STOMERIJ B.V.;ZEVENHUIZEN ZH;3.864
A BERENDS;LAAR;1.089
A BESTOUN;VOORBURG;3.090
A BLANKER;ZOETERMEER;4.836
A Bol-van de GROEP;BUNSCHOTEN-SPAKENBURG;6.165
A BOOM;HATTEM;4.338
A Boon-POLAK;HOOGEVEEN;447
A BOOTH B.V.;OOSTZAAN;217.554
A BRANTJES;ZAANDAM;11.304
A CELEBI;ROTTERDAM;2.415
A de LANGE;NOORDWIJK ZH;1.086
A de VRIES;HEINKENSZAND;5.259
A de VRIES;VOLLENHOVE;1.956
A DEKKER;BLARICUM;3.138
A DIAZ NOGUERA;ROTTERDAM;16.329
A Dulak;ROTTERDAM;864
A EL AMRAOUI;ROTTERDAM;621
A El BOUCHETAOUI;ROTTERDAM;5.582
A El MAATI;UTRECHT;3.489
A EN H CATERING V.O.F.;ZUIDWOLDE DR;8.040
A FAKEN;RODEN;1.677
A G K ELECTRO V.O.F.;CRUQUIUS;12.822
A GENCAY;LANAKEN;1.356
A GEUGIEN;ARNHEM;1.725
A GUC B.V.;ROTTERDAM;6.180
A HAGOORT;HENDRIK-IDO-AMBACHT;5.055
A HEIJKOOP;SPRANG-CAPELLE;38.538
A Hendriksz-den NIJS;OOSTHUIZEN;1.212
A HOGEWEG;ROTTERDAM;4.290
A J VAN HILST B.V.;WAALWIJK;27.051
A JAMSHIDI;WEMBLEY MIDDLESEX;693
A JAPIN;BUNNIK;2.313
A JHINGOER;ROTTERDAM;1.614
A KAKAL;OOSTZAAN;6.102
A KAMAN;ARNHEM;1.644
A KENTER;OUDE PEKELA;19.419
A KREKELS;LUYKSGESTEL;2.190
A KUIPER;HOORN TERSCHELLING;19.812
A LA B.V.;HAARLEM;9.774
A LA CARTE UITZENDBUREAU B.V.;BREDA;104.760
A LIEFHEBBER;VIANEN UT;12.510
A Lieftink-SCALZO;ARNHEM;5.850
A MAGALAS;NEUSS;8.697
A MANASSIS;TERNEUZEN;12.132
A MEHDINEJAD FARDNIR-Hashemian;WAALWIJK;2.181
A MEIJER;BUSSUM;3.492
A MEINTJENS;ALKMAAR;2.043
A NENDELS;GEMERT;2.772
A OLSEN;HELMOND;5.976
A OZKURT;'S-HEERENHOEK;3.315
A PETERS;HOENSBROEK;669
A PHILIPP;PEIZE;2.634
A PILET;MAASTRICHT;29.886
A POLEIJ;'S-GRAVENZANDE;11.181
A Pot;APPELSCHA;7.767
A RAFIKI;HAMONT-ACHEL;1.914
A RANIERI;AMSTERDAM;720
A ROTTERDAM B.V.;ALKMAAR;8.508
A STEENDAM;DELFT;8.892
A TEKTEN;MAASTRICHT;2.445
A TOR;HAZERSWOUDE-DORP;1.074
A VAN DER HEIDE;BAD BENTHEIM;13.200
A van MEEL;VELDHOVEN;3.492
A VAN O B.V.;UTRECHT;38.532
A van WOENSEL;KRIMPEN AAN DEN IJSSEL;11.121
A VEENEMA;DOORN;5.337
A VEENSTRA;HOOFDDORP;7.296
A VELD;HOOGEVEEN;5.040
A WIELENS;AALDEN;4.161
A WORLD OF FANTASY B.V.;VEGHEL;8.925
A YAR;ALKMAAR;1.074
A YILMAZ;EERBEEK;1.173
A ZAKI;AMSTERDAM;17.326
A&A C.V.;MAASTRICHT;981
A&A MOTION AND CONTROL B.V.;NIEUWEGEIN;6.444
A&C MONTAGE & YACHTSERVICE B.V.;SCHIEDAM;2.682
A&D HOUTBEWERKING B.V.;OOSTERWOLDE FR;27.852
A&F HORECA UITZENDBUREAU B.V.;ROTTERDAM;28.227
A&GJ SERVICE B.V.;EEMNES;5.517
A&J CONSULTANCY B.V.;'S-GRAVENHAGE;2.472
A&M CREWSERVICE V.O.F.;VLAGTWEDDE;1.383
A&O HOSTEL AND HOTEL AMSTERDAM B.V.;AMSTERDAM;87.930
A&S CARGO V.O.F.;WELLERLOOI;5.478
A&S HOLDING B.V.;'S-GRAVENHAGE;2.031
A. ADEMA B.V.;HEERENVEEN;3.807
A. AND P. FLOWERS B.V.;ANDIJK;16.686
A. DE BLOOIS B.V.;ROTTERDAM;31.257
A. DE BRUIJN & ZN. B.V.;DE LIER;67.470
A. DE JONG T.H. B.V.;PAPENDRECHT;24.210
A. DEN HAAN CONTRACTORS B.V.;OOSTVOORNE;44.673
A. GOEDHART SIGARENMAGAZIJN B.V.;AMSTERDAM;6.792
A. HAK TRANSPORTBEDRIJF EN          WERKTUIGENVERHUUR B.V.;RIDDERKERK;86.214
A. HAK TRANSPORTBEDRIJF EN          WERKTUIGENVERHUUR B.V.;RIDDERKERK;41.013
A. HOGEWEG & ZONEN B.V.;BORCULO;21.897
A. JONKMAN & ZONEN B.V.;HASKERHORNE;12.492
A. KERKMANS BEHEER B.V.;BERGSCHENHOEK;546
A. LANGEVELD VOF;ARNHEM;6.450
A. LAU CHIROPRACTIE B.V.;BERGENTHEIM;1.872
A. LEERING ENSCHEDE APPARATENBOUW   B.V.;ENSCHEDE;65.046
A. LEERING ENSCHEDE LASERWELDING    B.V.;ENSCHEDE;15.195
A. LEERING ENSCHEDE PLASMASNIJDEN   B.V.;ENSCHEDE;37.713
A. LEERING METAALBEWERKING B.V.;ENSCHEDE;10.161
A. NELIS BEHEER B.V.;RITTHEM;1.074
A. NIEUWENHUIZEN HOLDING B.V.;WAARDENBURG;468
A. NOORT BLOEMENEXPORT B.V.;RIJNSBURG;37.140
A. POINT CULINAIRE B.V.;ECHTENERBRUG;9.720
A. RENDERS HORECA EXPLOITATIE B.V.;EINDHOVEN;6.042
A. RUITER V.O.F.;HOENSBROEK;5.727
A. SCHAAP IJZERHANDEL B.V.;ROTTERDAM;4.476
A. SPOOREN HOLDING B.V.;OIRSCHOT;3.231
A. STUIJ B.V.;KATWIJK ZH;11.979
A. TAZZA KOFFIE EN THEE B.V.;HARDERWIJK;11.064
A. TOONEN HANDEL EN TRANSPORT B.V.;REEK;11.025
A. VAN BEEK EN ZN. B.V.;OUDENBOSCH;15.426
A. VAN DER NEUT BETON-              BEWERKINGS BEDRIJF B.V.;WOUBRUGGE;6.699
A. VAN DIESSEN DAKBEDEKKINGEN B.V.;VALKENSWAARD;27.075
A. VAN DOOREN & ZONEN ISOLATIE B.V.;ETTEN-LEUR;3.552
A. VAN HELDEN RELATIEGESCHENKEN B.V.;TIEL;28.491
A. VAN KERNEBEEK EN ZOON B.V.;BORCULO;1.776
A. VAN RAAIJ STAALCONSTRUCTIES B.V.;DIDAM;20.325
A. VAN RAAK PROMOTIONS B.V.;BUNNIK;12.765
A. VAN TILBURG BEHEER B.V.;ROOSENDAAL;42.984
A. VAN TILBURG HANDELSONDERNEMING   EN TECHNIEK B.V.;ROOSENDAAL;35.574
A. VAN TILBURG HYDRAULIEK B.V.;ROOSENDAAL;39.855
A. VAN TILBURG MOERDIJK B.V.;MOERDIJK;17.109
A. VAN TILBURG TRUCK-EN TRAILERSERVICE B.V.;BREDA;18.075
A. VAN TILBURG VOERTUIGTECHNIEK B.V.;ROOSENDAAL;21.132
A. VAN VELSEN TRANSPORT B.V.;LEIDSCHENDAM;32.454
A. VOLLEBREGT B.V.;BLEISWIJK;36.885
A. ZOER B.V.;ECHTEN DR;2.643
A.A. BALKAN WOOD V.O.F.;LEIDEN;948
A.A. SEINEN BEHEER B.V.;HARLINGEN;3.111
A.A.D. ELEKTROTECHNIEK B.V.;BARENDRECHT;30.678
A.A.S. DUBBELDAM SCHADE B.V.;HARDINXVELD-GIESSENDAM;25.425
A.A.S. DUBBELDAM SCHADE DORDRECHT B.V.;DORDRECHT;14.610
A.B. JOB SERVICE B.V.;TIEL;4.440
A.B.B. INTERIEURBOUW B.V.;VARSSEVELD;44.382
A.B.C. AINK BODY CARE V.O.F.;ELBURG;9.360
A.BEERS HEERHUGOWAARD B.V.;HEERHUGOWAARD;3.231
A.C. & M.W. VAN DER SPEK B.V.;LISSERBROEK;22.740
A.C. BRANDPREVENTIE B.V.;ODOORNERVEEN;3.774
A.C. KONINGS B.V.;VENLO;807
A.C. TER KUILE B.V.;ENSCHEDE;40.083
A.C. VAN LEEUWEN CONSULTANCY B.V.;AMERSFOORT;924
A.C.AFBOUW EMMEN B.V.;EMMEN;10.161
A.C.B. INTERNATIONAL V.O.F.;HELMOND;1.626
A.C.C. MONTAGE B.V.;SPIJKENISSE;43.470
A.C.E. NEDERLAND B.V.;ALMELO;936
A.C.M.M. WOLFS BEHEER B.V.;OISTERWIJK;4.677
A.C.P.INTERNATIONAL B.V.;DRONTEN;11.412
A.C.R. BRACKE B.V.;BRESKENS;10.839
A.D.J. SUPPLY EUROPE BV;KERKRADE;233.397
A.E. MAN IN 'T VELD B.V.;KLARENBEEK;7.146
A.E.E. MARINE B.V.;ANDIJK;1.293
A.E.T.E.A. B.V.;AMSTERDAM;2.169
A.F. ACHTERHOEK V.O.F.;GROENLO;4.359
A.F. GLANERBRUG B.V.;ENSCHEDE;1.707
A.F. HEERLEN CENTRUM B.V.;HEERLEN;2.845
A.F. HEERLEN-ZUID B.V.;HEERLEN;3.228
A.F. MAARSSEN B.V.;MAARSSEN;2.529
A.F. MADE B.V.;MADE;2.298
A.F. ROERMOND B.V.;ROERMOND;2.214
A.F. TER AAR B.V.;TER AAR;3.381
A.F. VOERENDAAL B.V.;VOERENDAAL;3.108
A.F.S. TRANSPORT (AIR FREIGHT) B.V.;ROTTERDAM;40.218
A.F.S. TRANSPORT ROTTERDAM B.V.;ROTTERDAM;60.228
A.G. EMS NEDERLAND B.V.;EEMSHAVEN;26.334
A.G.L. GUNSTER HOLDING B.V.;UTRECHT;8.409
A.G.M. VERMEULEN H.O.D.N. SHOEBY    FASHION MAASBRACHT/JILLY&MITCH VOF;HERKENBOSCH;3.927
A.G.M. VERMEULEN H.O.D.N. SHOEBY    FASHION MAASBRACHT/JILLY&MITCH VOF;HERKENBOSCH;2.532
A.H.A. KWADRAAT C.V.;GELEEN;23.463
A.H.C. VAN OMMEREN RETAIL LIENDEN   B.V.;LIENDEN;1.977
A.H.C. VAN OMMEREN RETAIL TIEL B.V.;TIEL;2.628
A.I.C. GROOTHANDEL B.V.;HARDERWIJK;44.583
A.I.C. VERHUUR B.V.;HARDERWIJK;22.599
A.I.S. ETTEN-LEUR B.V.;ETTEN-LEUR;4.317
A.I.S.B. B.V.;BAARLO LB;14.052
A.J. BOSWIJK BAZAR B.V.;AMSTERDAM;29.187
A.J. MICHELS TANDARTSPRAKTIJK B.V.;AMSTERDAM;5.046
A.J. POLAK TRAVEL B.V.;AMSTERDAM;77.835
A.J. VAN DAM BEHEER B.V.;TYTSJERK;11.283
A.J. VAN DER LINDE B.V.;AMSTERDAM;36.957
A.J. VAN DER ZWET EN ZONEN;ROELOFARENDSVEEN;2.838
A.J. VAN DEUDEKOM B.V.;DUIVENDRECHT;77.247
A.J. VAN DIJK B.V.;WOLVEGA;69.780
A.J. VERHOEF B.V.;NIEUWEGEIN;19.428
